title,source_url,category,duration,starting_price_usd,max_people,extraction_status,verification_status
Budget Tour 1,https://jordanstorytours.com/tour/budget-tour-1/,Budget,3 Days 2 Nights,,Unlimited,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Budget Tour 2,https://jordanstorytours.com/tour/budget-tour-2/,Budget,3 Days 2 Nights,,,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Budget Tour 3,https://jordanstorytours.com/tour/budget-tour-3/,Budget,4 Days 3 Nights,,50,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Budget Tour 4,https://jordanstorytours.com/tour/budget-tour-4/,Budget,4 Days 3 Nights,,50,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Jordan & Holy Land Tour 2,https://jordanstorytours.com/tour/jordan-holy-land-tour-2/,Biblical/Holy Land,7 Days 6 Nights,,50,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Jordan & Holy Land Tour 3,https://jordanstorytours.com/tour/jordan-holy-land-tour-3/,Biblical/Holy Land,7 Days 6 Nights,1000,50,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Jordan Story Classic Tour 1,https://jordanstorytours.com/tour/jordan-story-classic-tour-1/,Classical,,,,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Jordan Story Classic Tour 2,https://jordanstorytours.com/tour/jordan-story-classic-tour-2/,Classical,,,,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Jordan Luxury Tour 1,https://jordanstorytours.com/tour/jordan-luxury-tour-1/,Luxury,,,,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Jordan Luxury Tour 2,https://jordanstorytours.com/tour/jordan-luxury-tour-2/,Luxury,,,,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Jordan Luxury Tour 3,https://jordanstorytours.com/tour/jordan-luxury-tour-3/,Luxury,,,,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Islamic Tour,https://jordanstorytours.com/tour/islamic-with-historical/,Islamic & Historical,6 Days 5 Nights,,,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Islamic & Historical Tour,https://jordanstorytours.com/tour/islamic-historical-tour-1/,Islamic & Historical,5 Days 4 Nights,,,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Jordan Tours from Amman,https://jordanstorytours.com/tour/jordan-tours-from-amman/,Day Tour,1 Day,100,,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Jerash & Ajlun,https://jordanstorytours.com/tour/jerash-ajlun/,Day Tour,1 Day,,,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Baptism Site & Dead Sea,https://jordanstorytours.com/tour/baptism-site-dead-sea/,Day Tour,1 Day,115,,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Dead Sea & Wadi Mujib,https://jordanstorytours.com/tour/dead-sea-wadi-mujib/,Day Tour,1 Day,150,,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Wadi Rum and Petra tour from Amman,https://jordanstorytours.com/tour/wadi-rum-and-petra-tour-from-amman/,Day Tour,1 Day,275,,PARTIAL_EXTRACT,NEEDS_VERIFICATION
Amman – Aqaba – Amman,https://jordanstorytours.com/tour/amman-aqaba-amman/,Day Tour,1 Day,300,,PARTIAL_EXTRACT,NEEDS_VERIFICATION
